Area Name,Area Type,Year,Labor Force,Employment,Unemployment,Unemployment Rate,Average Monthly Employment,Total Wages (All Workers),Average Weekly Wages,Establishments,Total Expenditures,Estimated Population,Expenditures Per Capita
Tehama County,County,2010.0,25760.0,21700.0,4060.0,15.8,303.49,4029024.59,607.68,37.19,98512525.0,63100.0,1561.0
Trinity County,County,2010.0,5440.0,4490.0,950.0,17.4,108.61,1350788.06,570.31,19.55,38219365.0,13898.0,2750.0
Tulare County,County,2010.0,203500.0,167700.0,35800.0,17.6,1351.86,16845030.48,657.94,90.89,644590556.0,447814.0,1439.0
Tuolumne County,County,2010.0,22660.0,19120.0,3530.0,15.6,298.39,4286018.43,688.38,34.58,107643945.0,56086.0,1919.0
Ventura County,County,2010.0,430200.0,382400.0,47800.0,11.1,1925.96,36159237.61,919.54,155.44,1223893404.0,844713.0,1449.0
Yolo County,County,2010.0,102300.0,89600.0,12600.0,12.4,813.87,13726041.41,803.61,71.95,261598583.0,202953.0,1289.0
Yuba County,County,2010.0,29100.0,23800.0,5300.0,18.2,277.37,4347309.76,596.38,31.97,124612165.0,73380.0,1698.0
California,State,2011.0,18406800.0,16220600.0,2186200.0,11.9,48161.26,1059276524.37,1077.42,4385.58,56604052344.0,36697946.0,117008.0
Alameda County,County,2011.0,785100.0,704600.0,80500.0,10.3,3499.11,86621501.3,1112.78,313.32,2186575262.0,1521157.0,1437.0
Alpine County,County,2011.0,590.0,520.0,80.0,12.9,76.58,1394117.86,894.37,10.81,14988662.0,1176.0,12745.0
Amador County,County,2011.0,15080.0,12990.0,2090.0,13.8,288.22,4281116.74,682.23,29.95,58227532.0,37911.0,1536.0
Butte County,County,2011.0,100500.0,86500.0,14000.0,13.9,703.77,9718123.04,712.1,89.4,344618539.0,221388.0,1557.0
Calaveras County,County,2011.0,20650.0,17700.0,2950.0,14.3,180.87,2348005.94,659.3,36.54,72979521.0,45693.0,1597.0
Colusa County,County,2011.0,11380.0,8920.0,2460.0,21.6,281.92,3970793.56,714.67,30.65,46753162.0,21593.0,2165.0
Contra Costa County,County,2011.0,528500.0,473100.0,55400.0,10.5,2238.73,52399864.73,1075.67,217.53,1937982203.0,1056064.0,1835.0
Del Norte County,County,2011.0,10880.0,9410.0,1470.0,13.5,271.47,3775399.73,614.56,35.47,53736105.0,28594.0,1879.0
El Dorado County,County,2011.0,89600.0,78900.0,10700.0,11.9,560.9,8782274.97,796.1,62.26,267356271.0,182498.0,1465.0
Fresno County,County,2011.0,443300.0,368800.0,74500.0,16.8,2232.91,32278155.54,786.69,217.41,1221747562.0,940220.0,1299.0
